P10101,P10202,P10303,P10404,P10505,P10606,P10707,P10808,P20109,P20210,P20311,P20412,P20513,P20614,P20715,P30116,P30217,P30318,P40119,P40220,P40321,P40422,P40523,P40624,P40725,P50126,P50227,P50328,P50429,P50530,P50631,P60132,P60233,P60334,P60435,P70136,P70237,P70338
AL20234555,Martínez,Cisneros,Araceli,araceli.martinez@universidad.edu.mx,araceli.martinez744@gmail.com,9973729363,09/06/2025,Licenciatura en Contaduría Pública,LCP-03,7,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,2,"$15,001-$25,000",Madre,Sí,26,No,"Apoyo familiar, Trabajo propio",Sí,"Beca IMJUVE, $2,000",1045,No,Sí a ambos,Preparatoria,Licenciatura,No,No,Sí,Sí,Sí
AL20253093,Martínez,Cruz,Pedro,al20253093@universidad.edu.mx,pedro.martinez76@gmail.com,3389437101,13/06/2025,Ingeniería en Sistemas Computacionales,ISC-01,1,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,6,"Menos de $5,000",Madre,Sí,35,No,"Apoyo familiar, Ahorro",No,NA,520,Sí,Sí a ambos,Secundaria,Secundaria,Sí,Sí,Sí,Sí,No
AL20250964,Villanueva,Mata,Araceli,al20250964@universidad.edu.mx,araceli7@gmail.com,2271703889,13/02/2025,Ingeniería en Sistemas Computacionales,ISC-01,2,Sí,2,Sí,Personal/Familiar,Beca de transporte,NA,54030,Con pareja,3,"$5,001-$10,000",Madre,Sí,21,No,Apoyo familiar,No,NA,1683,No,Solo internet,Sin estudios,Preparatoria,Sí,No,Sí,Sí,Sí
AL20246351,Vargas,Cedillo,Gerardo,gerardo.vargas@universidad.edu.mx,gerardo987@outlook.com,2285364078,01/01/2025,Licenciatura en Contaduría Pública,LCP-03,4,No,NA,Sí,Otra,Beca de transporte,NA,07040,Con pareja,2,"Menos de $5,000",Madre,Sí,31,Sí,"Apoyo familiar, Trabajo propio",Sí,"Jóvenes Escribiendo el Futuro, $2,575",1476,Sí,Solo computadora,Secundaria,Secundaria,Sí,No,Sí,Sí,Sí
AL20251137,Benítez,Ruiz,Omar,omar.benitez@universidad.edu.mx,omar56@gmail.com,3315635159,28/05/2025,Licenciatura en Enfermería,LEN-10,2,Sí,1,No,NA,Beca de colegiatura,8.0,NA,Con padres o tutores,5,"Menos de $5,000",Madre,No,NA,NA,Apoyo familiar,No,NA,14,No,Ninguno,Preparatoria,Secundaria,No,No,Sí,Sí,Sí
AL20236108,Cisneros,Navarro,Antonio,al20236108@universidad.edu.mx,antonio.cisneros@gmail.com,5519548518,12/02/2025,Ingeniería Industrial,IIN-06,6,Sí,1,Sí,Económica,Beca de colegiatura,9.1,NA,Con padres o tutores,4,"$5,001-$10,000",El propio estudiante,Sí,38,No,Trabajo propio,No,NA,349,No,Sí a ambos,Licenciatura,Secundaria,No,No,Sí,Sí,No
AL20220517,Solís,Navarro,Ana Karen,al20220517@universidad.edu.mx,anasolis@gmail.com,5514501497,26/05/2025,Licenciatura en Mercadotecnia,LMK-07,6,Sí,3,Sí,Económica,Beca de transporte,NA,55430,Con padres o tutores,4,"Menos de $5,000",Tutor,Sí,4,No,"Apoyo familiar, Trabajo propio",Sí,"Beca por mérito deportivo, $4,000",2240,No,Solo computadora,Secundaria,Primaria,Sí,No,Sí,Sí,No
AL20248052,Zavala,Suárez,Irma,al20248052@universidad.edu.mx,irma.zavala@gmail.com,6162134670,29/01/2025,Licenciatura en Diseño Gráfico,LDG-08,4,No,NA,Sí,Académica,Beca de colegiatura,7.6,NA,Con padres o tutores,2,"Menos de $5,000",Beca o apoyo gubernamental,Sí,20,No,"Apoyo familiar, Crédito educativo",No,NA,715,Sí,Sí a ambos,Secundaria,Secundaria,Sí,Sí,Sí,Sí,Sí
AL20245778,Orozco,Acosta,Ariadna,ariadna.orozco@universidad.edu.mx,ariadna.orozco@gmail.com,5577687570,18/06/2025,Licenciatura en Derecho,LDE-04,4,Sí,3,Sí,Personal/Familiar,Beca de transporte,NA,64400,Con padres o tutores,5,"$10,001-$15,000",Padre,No,NA,NA,"Apoyo familiar, Crédito educativo",No,NA,2066,No,Solo computadora,Posgrado,Sin estudios,No,No,Sí,Sí,Sí
AL20254484,Trejo,Herrera,Claudia,claudia.trejo@universidad.edu.mx,claudia138@gmail.com,5576257522,26/02/2025,Licenciatura en Administración de Empresas,LAE-02,3,No,NA,Sí,Académica,Beca de colegiatura,8.3,NA,Con padres o tutores,3,"$15,001-$25,000",Madre,No,NA,NA,Trabajo propio,Sí,"Beca Benito Juárez, $2,575",107,No,Sí a ambos,Secundaria,Secundaria,Sí,No,Sí,Sí,Sí
AL20234165,Serrano,Acosta,Enrique,enrique.serrano@universidad.edu.mx,enrique.serrano720@yahoo.com,5669809230,30/01/2025,Licenciatura en Contaduría Pública,LCP-03,4,Sí,1,Sí,Académica,Beca de inscripción/reinscripción,NA,NA,Con otros familiares,7,"$10,001-$15,000",Padre,Sí,24,No,"Apoyo familiar, Crédito educativo",No,NA,1228,No,Sí a ambos,Primaria,Secundaria,Sí,Sí,Sí,Sí,No
AL20237997,Herrera,García,Oscar,al20237997@universidad.edu.mx,herrera.os@outlook.com,6143369743,18/01/2025,Licenciatura en Administración de Empresas,LAE-02,6,No,NA,No,NA,Beca de colegiatura,7.0,NA,Solo/a,4,"Menos de $5,000",Madre,No,NA,NA,"Apoyo familiar, Crédito educativo",No,NA,1020,No,Sí a ambos,Secundaria,Primaria,No,Sí,Sí,Sí,Sí
AL20246171,Sánchez,Sandoval,Alejandra,alejandra.sanchez@universidad.edu.mx,alejandra.sanchez@gmail.com,5512760819,27/02/2025,Licenciatura en Contaduría Pública,LCP-03,5,Sí,3,Sí,Otra,Beca de colegiatura,7.0,NA,Con padres o tutores,7,"Menos de $5,000",Beca o apoyo gubernamental,Sí,19,No,"Trabajo propio, Apoyo gubernamental",No,NA,104,Sí,Solo computadora,Sin estudios,Secundaria,Sí,Sí,Sí,Sí,Sí
AL20255363,Alvarado,Herrera,Karla Patricia,al20255363@universidad.edu.mx,karla_alvarado@gmail.com,9932841879,11/06/2025,Ingeniería en Mecatrónica,IMC-09,2,No,NA,No,NA,Beca de transporte,NA,07100,Solo/a,7,"$5,001-$10,000",Padre,Sí,27,No,"Apoyo familiar, Trabajo propio",Sí,"Beca municipal, $1,500",1261,No,Sí a ambos,Secundaria,Secundaria,Sí,No,Sí,Sí,Sí
AL20245434,Gómez,Montes,Carmen,carmen.gomez@universidad.edu.mx,carmen.gomez508@gmail.com,3312292053,24/01/2025,Licenciatura en Derecho,LDE-04,5,Sí,3,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,5,"$5,001-$10,000",Otro familiar,No,NA,NA,"Apoyo familiar, Beca de otra institución",No,NA,897,Sí,Sí a ambos,Preparatoria,Secundaria,Sí,Sí,Sí,Sí,Sí
AL20207314,Mendoza,Orozco,Sebastián,al20207314@universidad.edu.mx,sebastianmendoza@gmail.com,2277785627,20/06/2025,Licenciatura en Psicología,LPS-05,12,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con pareja,4,"$5,001-$10,000",Padre,Sí,33,No,"Apoyo familiar, Ahorro",Sí,"Beca sindical, $1,800",48,No,Sí a ambos,Primaria,Secundaria,Sí,No,Sí,Sí,Sí
AL20259553,Cortés,Mendoza,Jorge,jorge.cortes@universidad.edu.mx,jorgecortes@hotmail.com,6138602766,09/06/2025,Licenciatura en Derecho,LDE-04,2,No,NA,Sí,Económica,Beca de transporte,NA,08600,Con otros familiares,2,"$15,001-$25,000",Otro familiar,Sí,4,No,"Apoyo familiar, Beca de otra institución",No,NA,1707,No,Solo internet,Secundaria,Preparatoria,Sí,No,Sí,Sí,Sí
AL20228175,Villanueva,Galindo,Beatriz,beatriz.villanueva@universidad.edu.mx,beatriz.villanueva@gmail.com,5622509015,15/02/2025,Licenciatura en Contaduría Pública,LCP-03,6,No,NA,Sí,Económica,Beca de colegiatura,7.1,NA,Con padres o tutores,5,"Menos de $5,000",Padre,Sí,4,No,"Apoyo familiar, Trabajo propio",No,NA,1038,Sí,Solo internet,Secundaria,Licenciatura,No,No,Sí,Sí,No
AL20248488,Figueroa,Acosta,Claudia,claudia.figueroa@universidad.edu.mx,claudia.figueroa@gmail.com,3346908064,27/03/2025,Ingeniería en Mecatrónica,IMC-09,5,No,NA,Sí,Laboral,Beca de transporte,NA,45030,En residencia estudiantil,6,"$10,001-$15,000",El propio estudiante,Sí,34,No,"Trabajo propio, Apoyo gubernamental",No,NA,1547,No,Solo internet,Primaria,Primaria,Sí,No,Sí,Sí,Sí
AL20251281,Mendoza,Flores,Enrique,al20251281@universidad.edu.mx,enriquemendoza@gmail.com,9946868490,10/02/2025,Licenciatura en Contaduría Pública,LCP-03,3,Sí,3,No,NA,Beca de colegiatura,7.5,NA,Con padres o tutores,5,"$5,001-$10,000",Madre,Sí,38,No,Apoyo familiar,No,NA,44,Sí,Ninguno,Secundaria,Preparatoria,Sí,No,Sí,Sí,Sí
AL20234777,Montes,Galindo,Jesús,jesus.montes@universidad.edu.mx,jesus.montes218@gmail.com,5560174290,14/06/2025,Ingeniería en Sistemas Computacionales,ISC-01,6,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Con pareja,6,"$15,001-$25,000",El propio estudiante,Sí,46,No,Apoyo gubernamental,No,NA,254,No,Solo computadora,Preparatoria,Primaria,Sí,No,Sí,Sí,Sí
AL20238408,Peña,Rivera,Juan Diego,juan.pena@universidad.edu.mx,juapen@gmail.com,2282326374,05/06/2025,Ingeniería en Sistemas Computacionales,ISC-01,6,No,NA,No,NA,Beca de colegiatura,8.3,NA,Con otros familiares,2,"$15,001-$25,000",Madre,Sí,4,No,"Apoyo familiar, Crédito educativo",No,NA,100,No,Sí a ambos,Preparatoria,Preparatoria,No,Sí,No,Sí,Sí
AL20230466,Trejo,Velázquez,Armando,armando.trejo@universidad.edu.mx,armando791@gmail.com,5517603785,14/03/2025,Licenciatura en Derecho,LDE-04,4,Sí,1,Sí,Académica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,5,"Menos de $5,000",Madre,No,NA,NA,"Apoyo familiar, Crédito educativo",Sí,"Apoyo de gobierno estatal, $2,000",185,No,Sí a ambos,Secundaria,Secundaria,Sí,No,Sí,Sí,No
AL20243641,Cortés,Estrada,Citlali,al20243641@universidad.edu.mx,citcor@gmail.com,4465909566,17/06/2025,Licenciatura en Psicología,LPS-05,4,No,NA,No,NA,Beca de transporte,NA,64410,Con padres o tutores,4,"$5,001-$10,000",Padre,Sí,8,No,"Apoyo familiar, Trabajo propio",Sí,"Jóvenes Escribiendo el Futuro, $2,575",1649,No,Sí a ambos,Licenciatura,Primaria,No,Sí,Sí,Sí,Sí
AL20256758,Serrano,Bautista,Ana Sofía,ana.serrano@universidad.edu.mx,ana.serrano@gmail.com,6118227170,02/02/2025,Licenciatura en Administración de Empresas,LAE-02,3,Sí,2,Sí,Económica,Beca de colegiatura,8.4,NA,Con otros familiares,7,"$5,001-$10,000",Otro familiar,Sí,23,Sí,"Trabajo propio, Ahorro",No,NA,432,Sí,Sí a ambos,Secundaria,Posgrado,No,Sí,Sí,Sí,No
AL20234585,Bautista,Palacios,Ximena,ximena.bautista@universidad.edu.mx,ximena.bautista@hotmail.com,4468906741,03/06/2025,Licenciatura en Derecho,LDE-04,7,Sí,3,No,NA,Beca de transporte,NA,07500,Solo/a,5,"Menos de $5,000",Tutor,Sí,28,No,"Apoyo familiar, Crédito educativo",Sí,"Jóvenes Escribiendo el Futuro, $2,575",800,Sí,Ninguno,Preparatoria,Primaria,No,Sí,Sí,Sí,Sí
AL20255465,Mejía,Bautista,Luz,al20255465@universidad.edu.mx,luz.mejia@hotmail.com,4423309589,19/04/2025,Ingeniería en Mecatrónica,IMC-09,3,No,NA,No,NA,Beca de transporte,NA,09260,Con padres o tutores,3,"$10,001-$15,000",Beca o apoyo gubernamental,No,NA,NA,Apoyo familiar,No,NA,1466,No,Solo internet,Secundaria,Primaria,Sí,No,Sí,Sí,No
AL20250849,Cortés,Rangel,Elena,elena.cortes@universidad.edu.mx,elena.cortes@outlook.com,5566444035,22/01/2025,Licenciatura en Administración de Empresas,LAE-02,3,Sí,3,No,NA,Beca de inscripción/reinscripción,NA,NA,Con otros familiares,5,"Menos de $5,000",Beca o apoyo gubernamental,No,NA,NA,"Trabajo propio, Ahorro",Sí,"Apoyo de gobierno estatal, $2,000",1187,Sí,Solo internet,Secundaria,Secundaria,Sí,Sí,Sí,Sí,Sí
AL20228619,Campos,Estrada,Jesús,jesus.campos@universidad.edu.mx,jesus428@hotmail.com,6195738628,13/05/2025,Licenciatura en Administración de Empresas,LAE-02,10,No,NA,No,NA,Beca de colegiatura,7.1,NA,Con padres o tutores,2,"Más de $25,000",Padre,No,NA,NA,Trabajo propio,Sí,"Beca municipal, $1,000",740,No,Sí a ambos,Secundaria,Licenciatura,No,Sí,Sí,Sí,No
AL20247053,Serrano,Rodríguez,Itzel,itzel.serrano@universidad.edu.mx,itzel_serrano@hotmail.com,5513617025,24/05/2025,Licenciatura en Administración de Empresas,LAE-02,4,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,6,"$5,001-$10,000",Madre,No,NA,NA,"Apoyo familiar, Trabajo propio, Ahorro",No,NA,1212,No,Sí a ambos,Licenciatura,Secundaria,No,Sí,Sí,Sí,Sí
AL20251005,Delgado,Cortés,Brandon,al20251005@universidad.edu.mx,brandon.delgado@gmail.com,3333328753,10/05/2025,Licenciatura en Derecho,LDE-04,3,Sí,1,Sí,Académica,Beca de colegiatura,8.2,NA,Con padres o tutores,3,"Menos de $5,000",Padre,Sí,24,No,"Trabajo propio, Ahorro",No,NA,1392,Sí,Solo computadora,Preparatoria,Secundaria,No,Sí,Sí,Sí,Sí
AL20259526,García,Gutiérrez,Néstor,al20259526@universidad.edu.mx,nestor.garcia@hotmail.com,5611552691,17/05/2025,Licenciatura en Derecho,LDE-04,1,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con pareja,2,"$10,001-$15,000",Otro familiar,Sí,22,No,"Apoyo familiar, Beca de otra institución",Sí,"Beca municipal, $1,000",532,Sí,Sí a ambos,Primaria,Primaria,No,No,Sí,Sí,Sí
AL20230205,Rivera,Aguilar,Catalina,al20230205@universidad.edu.mx,catalina.rivera892@gmail.com,3341309265,24/05/2025,Licenciatura en Derecho,LDE-04,4,Sí,1,Sí,Laboral,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,2,"$10,001-$15,000",Madre,No,NA,NA,"Apoyo familiar, Trabajo propio",Sí,"Jóvenes Escribiendo el Futuro, $2,575",726,Sí,Ninguno,Licenciatura,Preparatoria,No,Sí,Sí,Sí,Sí
AL20250411,Montes,Espinoza,Laura Patricia,al20250411@universidad.edu.mx,lauramontes@yahoo.com,2251552241,12/02/2025,Ingeniería en Sistemas Computacionales,ISC-01,1,No,NA,Sí,Académica,Beca de colegiatura,8.8,NA,Con padres o tutores,3,"$10,001-$15,000",Padre,Sí,19,No,Trabajo propio,Sí,"Apoyo de fundación privada, $2,000",1151,Sí,Sí a ambos,Preparatoria,Posgrado,No,Sí,Sí,Sí,Sí
AL20201969,Gutiérrez,Vargas,Sofía,sofia.gutierrez@universidad.edu.mx,sofia.gutierrez50@gmail.com,5680932718,06/04/2025,Ingeniería en Sistemas Computacionales,ISC-01,11,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,7,"$10,001-$15,000",Beca o apoyo gubernamental,Sí,18,Sí,"Apoyo familiar, Crédito educativo",No,NA,1288,Sí,Sí a ambos,Secundaria,Primaria,Sí,No,Sí,Sí,Sí
AL20256959,Gómez,Rivera,Daniela,al20256959@universidad.edu.mx,daniela.gomez@gmail.com,5525324207,29/06/2025,Ingeniería Industrial,IIN-06,1,Sí,2,Sí,Laboral,Beca de transporte,NA,16050,Solo/a,4,"$5,001-$10,000",Madre,No,NA,NA,Trabajo propio,No,NA,1599,Sí,Sí a ambos,Secundaria,Secundaria,Sí,No,Sí,Sí,Sí
AL20242254,Suárez,Bautista,Renata,al20242254@universidad.edu.mx,rena309@gmail.com,3362869906,27/04/2025,Ingeniería en Sistemas Computacionales,ISC-01,4,Sí,3,Sí,Personal/Familiar,Beca de inscripción/reinscripción,NA,NA,Solo/a,3,"$15,001-$25,000",El propio estudiante,Sí,41,No,Trabajo propio,No,NA,220,No,Sí a ambos,Secundaria,Secundaria,Sí,Sí,Sí,Sí,Sí
AL20246254,Pérez,Cisneros,Montserrat,al20246254@universidad.edu.mx,montserratperez@hotmail.com,3389411257,11/03/2025,Licenciatura en Administración de Empresas,LAE-02,4,Sí,1,Sí,Laboral,Beca de colegiatura,7.5,NA,Con otros familiares,4,"$5,001-$10,000",El propio estudiante,Sí,34,No,Crédito educativo,Sí,"Jóvenes Escribiendo el Futuro, $2,575",988,Sí,Sí a ambos,Preparatoria,Preparatoria,Sí,Sí,Sí,Sí,Sí
AL20222700,Pacheco,Villarreal,Rodrigo,al20222700@universidad.edu.mx,rodrigopacheco@gmail.com,2216646549,03/02/2025,Licenciatura en Derecho,LDE-04,9,No,NA,Sí,Personal/Familiar,Beca de colegiatura,8.6,NA,Con otros familiares,3,"$5,001-$10,000",Padre,No,NA,NA,Apoyo familiar,No,NA,126,Sí,Sí a ambos,Preparatoria,Preparatoria,Sí,No,Sí,Sí,No
AL20238622,Cortés,Morales,Sergio,sergio.cortes@universidad.edu.mx,sergio.cortes@gmail.com,5589044256,21/04/2025,Licenciatura en Administración de Empresas,LAE-02,5,Sí,2,Sí,Personal/Familiar,Beca de transporte,NA,55090,Con pareja,5,"Menos de $5,000",Beca o apoyo gubernamental,No,NA,NA,"Apoyo familiar, Beca de otra institución",No,NA,1233,No,Sí a ambos,Preparatoria,Preparatoria,No,No,Sí,Sí,Sí
AL20252962,Torres,Galindo,Laura,al20252962@universidad.edu.mx,laura_torres@gmail.com,5559218914,02/05/2025,Ingeniería en Sistemas Computacionales,ISC-01,2,Sí,1,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,7,"$10,001-$15,000",Padre,No,NA,NA,"Apoyo familiar, Apoyo gubernamental",No,NA,679,No,Sí a ambos,Primaria,Secundaria,Sí,No,Sí,Sí,Sí
AL20228089,Medina,Estrada,Norma,norma.medina@universidad.edu.mx,norm171@gmail.com,5531674279,08/02/2025,Licenciatura en Derecho,LDE-04,6,No,NA,Sí,Personal/Familiar,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"Menos de $5,000",Tutor,No,NA,NA,"Apoyo familiar, Ahorro",No,NA,1441,Sí,Sí a ambos,Preparatoria,Secundaria,No,Sí,No,Sí,Sí
AL20226148,Moreno,Gutiérrez,Nayeli,nayeli.moreno@universidad.edu.mx,nayelimoreno@outlook.com,5515055736,22/01/2025,Licenciatura en Contaduría Pública,LCP-03,7,No,NA,Sí,Académica,Beca de colegiatura,7.0,NA,Con otros familiares,5,"$5,001-$10,000",Padre,Sí,20,Sí,"Apoyo familiar, Trabajo propio",No,NA,1038,Sí,Solo computadora,Preparatoria,Preparatoria,Sí,Sí,Sí,Sí,Sí
AL20252322,Lara,Ramos,Marco Antonio,marco.lara@universidad.edu.mx,marcolara@gmail.com,5599356852,06/06/2025,Licenciatura en Enfermería,LEN-10,3,Sí,5,Sí,Personal/Familiar,Beca de inscripción/reinscripción,NA,NA,Con pareja,5,"Menos de $5,000",Padre,Sí,15,No,"Apoyo familiar, Trabajo propio",No,NA,497,Sí,Ninguno,Sin estudios,Secundaria,Sí,Sí,Sí,Sí,Sí
AL20251505,Contreras,Álvarez,Javier,javier.contreras@universidad.edu.mx,javiercontreras@gmail.com,5566992056,12/01/2025,Ingeniería en Sistemas Computacionales,ISC-01,2,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con pareja,4,"Menos de $5,000",Padre,Sí,25,No,"Apoyo familiar, Apoyo gubernamental",No,NA,577,Sí,Solo internet,Primaria,Licenciatura,No,No,Sí,Sí,Sí
AL20256398,Rodríguez,Montes,Ismael,al20256398@universidad.edu.mx,ismael_rodriguez@gmail.com,5570502942,07/02/2025,Licenciatura en Contaduría Pública,LCP-03,3,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Con otros familiares,2,"$10,001-$15,000",El propio estudiante,Sí,33,Sí,"Apoyo familiar, Trabajo propio",No,NA,375,No,Solo internet,Primaria,Licenciatura,No,Sí,Sí,Sí,Sí
AL20249622,Castro,Navarro,Armando,al20249622@universidad.edu.mx,armando_castro@gmail.com,3382738580,01/05/2025,Licenciatura en Administración de Empresas,LAE-02,5,No,NA,No,NA,Beca de transporte,NA,52170,Con padres o tutores,7,"$10,001-$15,000",Madre,Sí,39,No,"Apoyo familiar, Beca de otra institución",Sí,"Beca deportiva institucional, $2,500",1683,Sí,Sí a ambos,Licenciatura,Primaria,No,Sí,Sí,Sí,Sí
AL20245611,Ramos,Delgado,Silvia,silvia.ramos@universidad.edu.mx,silvia.ramos@gmail.com,5557858341,25/02/2025,Licenciatura en Contaduría Pública,LCP-03,5,No,NA,Sí,Académica,Beca de transporte,NA,09000,Con otros familiares,4,"Menos de $5,000",Otro familiar,Sí,39,Sí,"Apoyo familiar, Beca de otra institución",Sí,"Beca Benito Juárez, $2,575",2055,Sí,Ninguno,Preparatoria,Preparatoria,Sí,No,Sí,Sí,No
AL20252619,Cervantes,Ramírez,Alicia,al20252619@universidad.edu.mx,alicia_cervantes@gmail.com,5518860592,17/02/2025,Licenciatura en Psicología,LPS-05,1,Sí,4,Sí,Otra,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"$15,001-$25,000",El propio estudiante,Sí,41,No,Apoyo familiar,No,NA,184,No,Sí a ambos,Secundaria,Preparatoria,Sí,No,Sí,Sí,No
AL20254319,Reyes,Téllez,Enrique,enrique.reyes@universidad.edu.mx,enriquereyes@outlook.com,6185184223,11/06/2025,Licenciatura en Administración de Empresas,LAE-02,2,Sí,1,No,NA,Beca de colegiatura,8.4,NA,Con padres o tutores,2,"$15,001-$25,000",Padre,No,NA,NA,"Apoyo familiar, Ahorro",No,NA,2014,No,Sí a ambos,Secundaria,Secundaria,Sí,No,Sí,Sí,No
AL20236675,Álvarez,Muñoz,Valentina,al20236675@universidad.edu.mx,valentina_alvarez@gmail.com,3391934517,05/06/2025,Ingeniería en Sistemas Computacionales,ISC-01,6,Sí,1,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,2,"$5,001-$10,000",Padre,Sí,34,No,Apoyo familiar,No,NA,1250,Sí,Solo internet,Licenciatura,Secundaria,No,No,Sí,Sí,Sí
AL20233883,Castillo,Villarreal,Camila,al20233883@universidad.edu.mx,camila.castillo986@gmail.com,3399455054,04/01/2025,Licenciatura en Derecho,LDE-04,6,Sí,1,Sí,Laboral,Beca de transporte,NA,44430,Con padres o tutores,4,"$10,001-$15,000",Madre,Sí,22,No,"Trabajo propio, Apoyo gubernamental",No,NA,2206,No,Sí a ambos,Secundaria,Preparatoria,Sí,No,Sí,Sí,Sí
AL20257205,Muñoz,Fuentes,Gabriel,al20257205@universidad.edu.mx,gabriel_munoz@gmail.com,2298082363,25/02/2025,Licenciatura en Derecho,LDE-04,3,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"$15,001-$25,000",Padre,No,NA,NA,Apoyo familiar,No,NA,1225,No,Sí a ambos,Secundaria,Preparatoria,Sí,No,Sí,Sí,Sí
AL20241359,Bautista,Lara,Brenda,al20241359@universidad.edu.mx,brenda172@gmail.com,6121915450,19/02/2025,Licenciatura en Contaduría Pública,LCP-03,4,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,2,"Más de $25,000",Otro familiar,No,NA,NA,Apoyo familiar,No,NA,640,No,Sí a ambos,Primaria,Secundaria,Sí,No,Sí,Sí,No
AL20252151,Alvarado,Suárez,Dulce,dulce.alvarado@universidad.edu.mx,dulce.alvarado221@outlook.com,3312388016,23/02/2025,Licenciatura en Administración de Empresas,LAE-02,3,No,NA,No,NA,Beca de colegiatura,7.0,NA,Con padres o tutores,6,"$15,001-$25,000",Tutor,No,NA,NA,"Apoyo familiar, Beca de otra institución",No,NA,1493,No,Solo internet,Secundaria,Secundaria,Sí,No,Sí,Sí,Sí
AL20246105,Acosta,Soto,Carolina,al20246105@universidad.edu.mx,carolina.acosta65@hotmail.com,2227639728,23/05/2025,Ingeniería en Sistemas Computacionales,ISC-01,4,No,NA,Sí,Académica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,2,"$15,001-$25,000",Padre,Sí,13,No,"Apoyo familiar, Trabajo propio, Ahorro",No,NA,754,No,Sí a ambos,Preparatoria,Secundaria,Sí,Sí,Sí,Sí,Sí
AL20248278,Ruiz,Silva,Daniela,daniela.ruiz@universidad.edu.mx,daniela_ruiz@gmail.com,3331192955,25/04/2025,Licenciatura en Derecho,LDE-04,3,Sí,3,Sí,Económica,Beca de colegiatura,9.3,NA,Con padres o tutores,4,"Menos de $5,000",Beca o apoyo gubernamental,Sí,16,No,"Apoyo familiar, Trabajo propio",No,NA,538,No,Solo computadora,Preparatoria,Secundaria,Sí,No,Sí,Sí,No
AL20254591,Delgado,Mejía,Luis Fernando,al20254591@universidad.edu.mx,luis_delgado@gmail.com,9988358798,10/02/2025,Licenciatura en Derecho,LDE-04,3,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con otros familiares,6,"$10,001-$15,000",Beca o apoyo gubernamental,No,NA,NA,Apoyo gubernamental,Sí,"Beca Benito Juárez, $2,575",790,Sí,Ninguno,Licenciatura,Licenciatura,No,Sí,Sí,Sí,Sí
AL20246935,Peña,Velázquez,David,david.pena@universidad.edu.mx,david_pena@gmail.com,5611056654,02/05/2025,Ingeniería en Sistemas Computacionales,ISC-01,4,Sí,2,No,NA,Beca de colegiatura,8.1,NA,Con otros familiares,6,"$5,001-$10,000",Madre,Sí,23,No,Trabajo propio,No,NA,505,Sí,Solo computadora,Sin estudios,Sin estudios,Sí,Sí,Sí,Sí,Sí
AL20253505,Velázquez,Rodríguez,Sergio,sergio.velazquez@universidad.edu.mx,sergio_velazquez@gmail.com,5549606854,08/02/2025,Licenciatura en Enfermería,LEN-10,3,No,NA,Sí,Económica,Beca de colegiatura,7.9,NA,Con padres o tutores,3,"$5,001-$10,000",El propio estudiante,Sí,40,No,Apoyo familiar,No,NA,0,No,Sí a ambos,Preparatoria,Preparatoria,Sí,No,Sí,Sí,Sí
AL20239208,Ríos,Núñez,Jesús,jesus.rios@universidad.edu.mx,jesus.rios@hotmail.com,3335922794,20/01/2025,Ingeniería Industrial,IIN-06,8,No,NA,No,NA,Beca de colegiatura,7.4,NA,Con padres o tutores,3,"$10,001-$15,000",Padre,Sí,10,Sí,Trabajo propio,No,NA,876,No,Sí a ambos,Primaria,Preparatoria,Sí,No,Sí,Sí,Sí
AL20220594,Cervantes,Espinoza,Ana Karen,ana.cervantes@universidad.edu.mx,anacervantes@gmail.com,5642954050,25/04/2025,Licenciatura en Diseño Gráfico,LDG-08,10,No,NA,No,NA,Beca de colegiatura,8.3,NA,Con padres o tutores,5,"$5,001-$10,000",Padre,Sí,21,No,"Apoyo familiar, Trabajo propio",Sí,"Beca de empresa donde trabajo, $2,500",1088,Sí,Sí a ambos,Secundaria,Secundaria,Sí,Sí,Sí,Sí,Sí
